i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
11,1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{5}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{3}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=9, b=7}}"
12,1,"Question{QuestionVoter{voter=Voter{3}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{13}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=7}}"
13,1,"Question{QuestionVoter{voter=Voter{8}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=7}}"
14,1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{1}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{20}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=9, b=7}}"
15,1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=9, b=10}}"
16,1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{1}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=9, b=6}}"
17,1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=8}}"
18,1,"Question{QuestionVoter{voter=Voter{10}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{10}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{20}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=9, b=3}}"
19,1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=1}}"
20,1,"Question{QuestionVoter{voter=Voter{1}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{17}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{1}, a=9, b=1}}"
21,1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=3}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{8}, a=9, b=4}}"
22,1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{2}, a=6, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=4}}"
23,1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{14}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{17}, a=7, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{17}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=9, b=5}}"
24,1,"Question{QuestionVoter{voter=Voter{9}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{5}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=1}}",1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{20}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=5}}"
25,1,"Question{QuestionVoter{voter=Voter{5}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=2, b=1}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{10}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{15}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=9, b=5}}"
26,1,"Question{QuestionVoter{voter=Voter{4}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=2}}"
27,1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{20}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{13}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=7}}"
28,1,"Question{QuestionVoter{voter=Voter{1}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=10}}"
29,1,"Question{QuestionVoter{voter=Voter{3}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{16}, a=9, b=10}}"
30,1,"Question{QuestionVoter{voter=Voter{3}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{12}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{4}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{2}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=6}}"
31,1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{20}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=9, b=8}}"
32,1,"Question{QuestionVoter{voter=Voter{10}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{1}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=3}}"
33,1,"Question{QuestionVoter{voter=Voter{5}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{19}, a=2, b=9}}",1,"Question{QuestionVoter{voter=Voter{6}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{5}, a=2, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=9, b=5}}"
34,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{4}, a=9, b=8}}",1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=5}}"
35,1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{5}, a=9, b=1}}"
36,1,"Question{QuestionVoter{voter=Voter{4}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{5}, a=9, b=2}}"
37,1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{11}, a=2, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=9, b=1}}"
38,1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{1}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{15}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{17}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=4}}"
39,1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=9, b=4}}"
