i,qV(1)/qC(0),Run 1 of 25,qV(1)/qC(0),Run 2 of 25,qV(1)/qC(0),Run 3 of 25,qV(1)/qC(0),Run 4 of 25,qV(1)/qC(0),Run 5 of 25,qV(1)/qC(0),Run 6 of 25,qV(1)/qC(0),Run 7 of 25,qV(1)/qC(0),Run 8 of 25,qV(1)/qC(0),Run 9 of 25,qV(1)/qC(0),Run 10 of 25,qV(1)/qC(0),Run 11 of 25,qV(1)/qC(0),Run 12 of 25,qV(1)/qC(0),Run 13 of 25,qV(1)/qC(0),Run 14 of 25,qV(1)/qC(0),Run 15 of 25,qV(1)/qC(0),Run 16 of 25,qV(1)/qC(0),Run 17 of 25,qV(1)/qC(0),Run 18 of 25,qV(1)/qC(0),Run 19 of 25,qV(1)/qC(0),Run 20 of 25,qV(1)/qC(0),Run 21 of 25,qV(1)/qC(0),Run 22 of 25,qV(1)/qC(0),Run 23 of 25,qV(1)/qC(0),Run 24 of 25,qV(1)/qC(0),Run 25 of 25
140,1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=10}}",0,"Question{QuestionCommittee{λ=1157/1024, rank=8}}",0,"Question{QuestionCommittee{λ=2541/128, rank=8}}",1,"Question{QuestionVoter{voter=Voter{13}, a=2, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=2, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=4, b=1}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=9, b=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}",0,"Question{QuestionCommittee{λ=427/256, rank=1}}",1,"Question{QuestionVoter{voter=Voter{5}, a=9, b=2}}",0,"Question{QuestionCommittee{λ=275/256, rank=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=4}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=7, b=1}}",0,"Question{QuestionCommittee{λ=159/64, rank=8}}",1,"Question{QuestionVoter{voter=Voter{17}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=1}}",0,"Question{QuestionCommittee{λ=617/256, rank=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=7}}",0,"Question{QuestionCommittee{λ=1157/1024, rank=2}}",1,"Question{QuestionVoter{voter=Voter{3}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=8, b=5}}"
141,1,"Question{QuestionVoter{voter=Voter{18}, a=2, b=9}}",0,"Question{QuestionCommittee{λ=275/256, rank=2}}",0,"Question{QuestionCommittee{λ=4381/4096, rank=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=4, b=8}}",0,"Question{QuestionCommittee{λ=1803/1024, rank=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{2}, a=5, b=8}}",0,"Question{QuestionCommittee{λ=351/256, rank=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{12}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=4, b=10}}",0,"Question{QuestionCommittee{λ=6395/4096, rank=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=10}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=9, b=3}}",0,"Question{QuestionCommittee{λ=4119/2048, rank=7}}",0,"Question{QuestionCommittee{λ=351/256, rank=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=4, b=1}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=8}}",0,"Question{QuestionCommittee{λ=4311/1024, rank=6}}",1,"Question{QuestionVoter{voter=Voter{17}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=6}}"
142,1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=6}}",0,"Question{QuestionCommittee{λ=18113/16384, rank=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=2}}",0,"Question{QuestionCommittee{λ=313/256, rank=5}}",0,"Question{QuestionCommittee{λ=607/512, rank=1}}",0,"Question{QuestionCommittee{λ=5939/4096, rank=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=3, b=1}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=6}}",0,"Question{QuestionCommittee{λ=835/512, rank=1}}",1,"Question{QuestionVoter{voter=Voter{12}, a=2, b=4}}",0,"Question{QuestionCommittee{λ=531/512, rank=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=4}}",0,"Question{QuestionCommittee{λ=313/256, rank=6}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=7}}",0,"Question{QuestionCommittee{λ=427/256, rank=6}}",0,"Question{QuestionCommittee{λ=465/256, rank=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=6}}",0,"Question{QuestionCommittee{λ=9009/8192, rank=1}}",0,"Question{QuestionCommittee{λ=4305/4096, rank=6}}",0,"Question{QuestionCommittee{λ=569/512, rank=3}}"
143,1,"Question{QuestionVoter{voter=Voter{5}, a=7, b=4}}",0,"Question{QuestionCommittee{λ=10719/8192, rank=4}}",0,"Question{QuestionCommittee{λ=2257/2048, rank=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{4}, a=9, b=6}}",0,"Question{QuestionCommittee{λ=1309/1024, rank=5}}",0,"Question{QuestionCommittee{λ=541/256, rank=8}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{15}, a=2, b=1}}",0,"Question{QuestionCommittee{λ=8675/4096, rank=5}}",1,"Question{QuestionVoter{voter=Voter{3}, a=7, b=8}}",0,"Question{QuestionCommittee{λ=275/256, rank=2}}",0,"Question{QuestionCommittee{λ=147/128, rank=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=1}}",0,"Question{QuestionCommittee{λ=1081/1024, rank=6}}",1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=4}}",0,"Question{QuestionCommittee{λ=2219/2048, rank=3}}",0,"Question{QuestionCommittee{λ=29475/16384, rank=7}}",0,"Question{QuestionCommittee{λ=569/512, rank=4}}"
144,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=9}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=40941/2048, rank=8}}",0,"Question{QuestionCommittee{λ=797/512, rank=4}}",1,"Question{QuestionVoter{voter=Voter{4}, a=2, b=6}}",0,"Question{QuestionCommittee{λ=1063/512, rank=8}}",1,"Question{QuestionVoter{voter=Voter{1}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{20}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{3}, a=9, b=2}}",0,"Question{QuestionCommittee{λ=275/256, rank=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=3}}",0,"Question{QuestionCommittee{λ=531/512, rank=2}}",1,"Question{QuestionVoter{voter=Voter{3}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{17}, a=3, b=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=9}}",0,"Question{QuestionCommittee{λ=6079/512, rank=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=2}}",0,"Question{QuestionCommittee{λ=1119/1024, rank=3}}"
145,1,"Question{QuestionVoter{voter=Voter{18}, a=2, b=7}}",0,"Question{QuestionCommittee{λ=2333/2048, rank=8}}",1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=2, b=1}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=2}}",0,"Question{QuestionCommittee{λ=4457/4096, rank=4}}",0,"Question{QuestionCommittee{λ=16859/16384, rank=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=5, b=7}}",0,"Question{QuestionCommittee{λ=275/256, rank=6}}",0,"Question{QuestionCommittee{λ=389/256, rank=8}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=9}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=9}}",0,"Question{QuestionCommittee{λ=4267/4096, rank=4}}",0,"Question{QuestionCommittee{λ=569/512, rank=1}}",0,"Question{QuestionCommittee{λ=949/512, rank=6}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=4, b=8}}",0,"Question{QuestionCommittee{λ=1043/1024, rank=4}}",0,"Question{QuestionCommittee{λ=1157/1024, rank=4}}"
146,1,"Question{QuestionVoter{voter=Voter{14}, a=4, b=3}}",0,"Question{QuestionCommittee{λ=36245/32768, rank=3}}",0,"Question{QuestionCommittee{λ=147/128, rank=3}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=1}}",0,"Question{QuestionCommittee{λ=73061/16384, rank=8}}",0,"Question{QuestionCommittee{λ=313/256, rank=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=2, b=9}}",0,"Question{QuestionCommittee{λ=569/512, rank=2}}",1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=5}}",0,"Question{QuestionCommittee{λ=1157/1024, rank=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=6}}",0,"Question{QuestionCommittee{λ=275/256, rank=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=7, b=9}}",0,"Question{QuestionCommittee{λ=9997/8192, rank=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=6}}",0,"Question{QuestionCommittee{λ=569/512, rank=1}}"
147,0,"Question{QuestionCommittee{λ=1195/1024, rank=2}}",0,"Question{QuestionCommittee{λ=21457/16384, rank=4}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=8}}",0,"Question{QuestionCommittee{λ=1195/1024, rank=1}}",1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=9}}",0,"Question{QuestionCommittee{λ=1461/1024, rank=4}}",0,"Question{QuestionCommittee{λ=147/128, rank=4}}",0,"Question{QuestionCommittee{λ=8363/8192, rank=4}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=10}}",0,"Question{QuestionCommittee{λ=2295/2048, rank=4}}",1,"Question{QuestionVoter{voter=Voter{4}, a=2, b=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=3}}",0,"Question{QuestionCommittee{λ=2143/2048, rank=6}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=4}}",0,"Question{QuestionCommittee{λ=351/256, rank=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=4}}"
148,1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=6}}",0,"Question{QuestionCommittee{λ=275/256, rank=7}}",0,"Question{QuestionCommittee{λ=4495/4096, rank=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=1}}",0,"Question{QuestionCommittee{λ=543439/262144, rank=7}}",0,"Question{QuestionCommittee{λ=2599/2048, rank=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=2, b=8}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=3589/1024, rank=8}}",0,"Question{QuestionCommittee{λ=2219/2048, rank=4}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=10}}",0,"Question{QuestionCommittee{λ=12809/8192, rank=3}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=5}}",0,"Question{QuestionCommittee{λ=569/512, rank=5}}",0,"Question{QuestionCommittee{λ=607/512, rank=6}}",0,"Question{QuestionCommittee{λ=275/256, rank=1}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=9}}",0,"Question{QuestionCommittee{λ=3777/2048, rank=7}}",0,"Question{QuestionCommittee{λ=351/256, rank=5}}",0,"Question{QuestionCommittee{λ=1233/1024, rank=1}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=6}}"
149,0,"Question{QuestionCommittee{λ=83/64, rank=7}}",0,"Question{QuestionCommittee{λ=1195/1024, rank=1}}",1,"Question{QuestionVoter{voter=Voter{20}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=10}}",0,"Question{QuestionCommittee{λ=17543/16384, rank=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=4, b=6}}",0,"Question{QuestionCommittee{λ=1689/1024, rank=1}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{5}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=10}}",0,"Question{QuestionCommittee{λ=1271/1024, rank=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=5}}",0,"Question{QuestionCommittee{λ=1879/1024, rank=6}}",1,"Question{QuestionVoter{voter=Voter{13}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=6}}",0,"Question{QuestionCommittee{λ=531/512, rank=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=1}}",0,"Question{QuestionCommittee{λ=4457/4096, rank=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=9}}",0,"Question{QuestionCommittee{λ=4575/2048, rank=5}}"
150,0,"Question{QuestionCommittee{λ=275/256, rank=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{10}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=1}}",0,"Question{QuestionCommittee{λ=2107/1024, rank=8}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=9}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=4419/4096, rank=2}}",0,"Question{QuestionCommittee{λ=1081/1024, rank=6}}",0,"Question{QuestionCommittee{λ=51/32, rank=7}}",0,"Question{QuestionCommittee{λ=607/512, rank=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=10}}",0,"Question{QuestionCommittee{λ=10377/8192, rank=6}}",0,"Question{QuestionCommittee{λ=1157/1024, rank=2}}",0,"Question{QuestionCommittee{λ=9085/8192, rank=4}}",1,"Question{QuestionVoter{voter=Voter{17}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=2}}",0,"Question{QuestionCommittee{λ=351/256, rank=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=8}}",0,"Question{QuestionCommittee{λ=19025/16384, rank=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=8}}"
151,1,"Question{QuestionVoter{voter=Voter{1}, a=4, b=6}}",0,"Question{QuestionCommittee{λ=42895/32768, rank=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{17}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=6}}",0,"Question{QuestionCommittee{λ=5179/4096, rank=5}}",0,"Question{QuestionCommittee{λ=83/64, rank=6}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=6}}",0,"Question{QuestionCommittee{λ=97779/65536, rank=6}}",0,"Question{QuestionCommittee{λ=1119/1024, rank=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{13}, a=2, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=6}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=531/512, rank=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=8}}",0,"Question{QuestionCommittee{λ=275/256, rank=5}}",0,"Question{QuestionCommittee{λ=1613/1024, rank=7}}",0,"Question{QuestionCommittee{λ=18631/4096, rank=8}}",0,"Question{QuestionCommittee{λ=721/512, rank=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=10}}"
152,0,"Question{QuestionCommittee{λ=147/128, rank=7}}",0,"Question{QuestionCommittee{λ=85771/65536, rank=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{20}, a=6, b=3}}",0,"Question{QuestionCommittee{λ=389/256, rank=4}}",0,"Question{QuestionCommittee{λ=607/512, rank=5}}",0,"Question{QuestionCommittee{λ=1461/1024, rank=7}}",0,"Question{QuestionCommittee{λ=531/512, rank=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=9, b=8}}",0,"Question{QuestionCommittee{λ=185/128, rank=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=2}}",0,"Question{QuestionCommittee{λ=2257/2048, rank=2}}",0,"Question{QuestionCommittee{λ=2219/2048, rank=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=5}}",0,"Question{QuestionCommittee{λ=1119/1024, rank=3}}",0,"Question{QuestionCommittee{λ=2295/2048, rank=2}}",1,"Question{QuestionVoter{voter=Voter{17}, a=9, b=4}}",0,"Question{QuestionCommittee{λ=8827/4096, rank=8}}",1,"Question{QuestionVoter{voter=Voter{10}, a=2, b=9}}",0,"Question{QuestionCommittee{λ=1043/1024, rank=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=2, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=4}}",0,"Question{QuestionCommittee{λ=181099/131072, rank=7}}"
153,1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=10}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=6}}",0,"Question{QuestionCommittee{λ=721/512, rank=1}}",0,"Question{QuestionCommittee{λ=10339/8192, rank=5}}",0,"Question{QuestionCommittee{λ=8895/8192, rank=4}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=5, b=4}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=8, b=7}}",0,"Question{QuestionCommittee{λ=20773/16384, rank=6}}",1,"Question{QuestionVoter{voter=Voter{19}, a=2, b=4}}",0,"Question{QuestionCommittee{λ=9807/8192, rank=5}}",0,"Question{QuestionCommittee{λ=1043/1024, rank=4}}",0,"Question{QuestionCommittee{λ=185/128, rank=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=4}}",0,"Question{QuestionCommittee{λ=38069/32768, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=8}}"
154,1,"Question{QuestionVoter{voter=Voter{20}, a=4, b=10}}",0,"Question{QuestionCommittee{λ=10871/8192, rank=6}}",0,"Question{QuestionCommittee{λ=1309/1024, rank=6}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=1613/1024, rank=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{11}, a=4, b=6}}",0,"Question{QuestionCommittee{λ=721/512, rank=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=8}}",0,"Question{QuestionCommittee{λ=3245/2048, rank=7}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{13}, a=6, b=2}}",0,"Question{QuestionCommittee{λ=83/64, rank=7}}",0,"Question{QuestionCommittee{λ=313/256, rank=4}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=7}}",0,"Question{QuestionCommittee{λ=2295/2048, rank=1}}",0,"Question{QuestionCommittee{λ=147/128, rank=1}}",0,"Question{QuestionCommittee{λ=17635/8192, rank=8}}",0,"Question{QuestionCommittee{λ=2713/2048, rank=7}}",0,"Question{QuestionCommittee{λ=2485/2048, rank=1}}",0,"Question{QuestionCommittee{λ=569/512, rank=5}}",0,"Question{QuestionCommittee{λ=8287/8192, rank=4}}",0,"Question{QuestionCommittee{λ=2067/2048, rank=4}}",0,"Question{QuestionCommittee{λ=351/256, rank=6}}"
155,0,"Question{QuestionCommittee{λ=531/512, rank=8}}",1,"Question{QuestionVoter{voter=Voter{17}, a=2, b=10}}",1,"Question{QuestionVoter{voter=Voter{11}, a=4, b=10}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=3, b=5}}",0,"Question{QuestionCommittee{λ=2333/2048, rank=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=10}}",0,"Question{QuestionCommittee{λ=195539/131072, rank=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=5}}",0,"Question{QuestionCommittee{λ=16745/16384, rank=4}}",0,"Question{QuestionCommittee{λ=2257/2048, rank=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=5}}",0,"Question{QuestionCommittee{λ=2181/2048, rank=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=8}}",0,"Question{QuestionCommittee{λ=2333/2048, rank=2}}",0,"Question{QuestionCommittee{λ=10491/8192, rank=5}}",1,"Question{QuestionVoter{voter=Voter{17}, a=4, b=10}}",0,"Question{QuestionCommittee{λ=51/32, rank=8}}"
