i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
11,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{25}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{29}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{23}, a=6, b=4}}",1,"Question{QuestionVoter{voter=Voter{28}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{22}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=8}}"
12,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{20}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{30}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{10}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{28}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{30}, a=7, b=9}}"
13,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{21}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{22}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{4}, a=7, b=10}}"
14,1,"Question{QuestionVoter{voter=Voter{29}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=2, b=3}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=10}}"
15,1,"Question{QuestionVoter{voter=Voter{17}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{30}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{30}, a=7, b=1}}"
16,1,"Question{QuestionVoter{voter=Voter{21}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=1}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{24}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{21}, a=8, b=3}}",1,"Question{QuestionVoter{voter=Voter{21}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=1}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=1}}"
17,1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{30}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=9}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{28}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{29}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{26}, a=7, b=4}}"
18,1,"Question{QuestionVoter{voter=Voter{20}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{25}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{20}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=7, b=4}}"
19,1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{27}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{10}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{30}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{26}, a=7, b=5}}"
20,1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{21}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{28}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=10}}",0,"Question{QuestionCommittee{λ=33/4, rank=1}}",1,"Question{QuestionVoter{voter=Voter{1}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=5}}"
21,1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{28}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{29}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=6}}"
22,1,"Question{QuestionVoter{voter=Voter{27}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{11}, a=9, b=7}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=6}}"
23,1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{26}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=2}}"
24,1,"Question{QuestionVoter{voter=Voter{6}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{14}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{25}, a=5, b=1}}",0,"Question{QuestionCommittee{λ=37/8, rank=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{30}, a=5, b=8}}",1,"Question{QuestionVoter{voter=Voter{26}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{17}, a=7, b=2}}"
25,1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=2, b=5}}"
26,1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{4}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{17}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=5}}"
27,1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{30}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{29}, a=5, b=4}}",0,"Question{QuestionCommittee{λ=31/2, rank=8}}"
28,1,"Question{QuestionVoter{voter=Voter{3}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{29}, a=5, b=3}}",0,"Question{QuestionCommittee{λ=33/4, rank=1}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{5}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{20}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=3}}"
29,1,"Question{QuestionVoter{voter=Voter{28}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{26}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=8}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=3}}"
30,1,"Question{QuestionVoter{voter=Voter{13}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{28}, a=4, b=7}}",1,"Question{QuestionVoter{voter=Voter{28}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=7}}",0,"Question{QuestionCommittee{λ=31/2, rank=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=1}}",0,"Question{QuestionCommittee{λ=33/4, rank=1}}",1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=8}}"
31,1,"Question{QuestionVoter{voter=Voter{13}, a=4, b=1}}",1,"Question{QuestionVoter{voter=Voter{28}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{29}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{3}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=8}}"
32,1,"Question{QuestionVoter{voter=Voter{29}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{14}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{21}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{25}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{23}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=9}}"
33,1,"Question{QuestionVoter{voter=Voter{29}, a=4, b=1}}",1,"Question{QuestionVoter{voter=Voter{21}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=10}}",0,"Question{QuestionCommittee{λ=31/2, rank=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{22}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{29}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{27}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=10}}"
34,1,"Question{QuestionVoter{voter=Voter{22}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{22}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{5}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=1}}"
35,1,"Question{QuestionVoter{voter=Voter{7}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{28}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{22}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{27}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{25}, a=7, b=6}}"
36,1,"Question{QuestionVoter{voter=Voter{24}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{23}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{29}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{24}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{21}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{26}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=7, b=6}}"
37,1,"Question{QuestionVoter{voter=Voter{29}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{27}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=8, b=3}}",1,"Question{QuestionVoter{voter=Voter{26}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{26}, a=5, b=2}}",1,"Question{QuestionVoter{voter=Voter{2}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=4}}"
38,1,"Question{QuestionVoter{voter=Voter{14}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{3}, a=9, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{17}, a=5, b=4}}",0,"Question{QuestionCommittee{λ=31/2, rank=7}}",1,"Question{QuestionVoter{voter=Voter{24}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{11}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=7, b=5}}"
39,1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{28}, a=9, b=8}}",0,"Question{QuestionCommittee{λ=37/8, rank=1}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{26}, a=5, b=4}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{28}, a=5, b=3}}",1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=2}}"
