i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
11,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=11}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{12}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=11}}"
12,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=12}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{12}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=13}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=12}}"
13,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=13}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=14}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=14}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=13}}"
14,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=14}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=11}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=14}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=15}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=14}}"
15,1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=15}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=12}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{24}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{23}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=15}}"
16,1,"Question{QuestionVoter{voter=Voter{28}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=13}}",1,"Question{QuestionVoter{voter=Voter{15}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=3}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}"
17,1,"Question{QuestionVoter{voter=Voter{3}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=14}}",1,"Question{QuestionVoter{voter=Voter{7}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=3}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{14}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=9}}"
18,1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=14, b=15}}",1,"Question{QuestionVoter{voter=Voter{30}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{25}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{30}, a=8, b=10}}"
19,1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=6}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{4}, a=14, b=9}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{17}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{23}, a=8, b=11}}"
20,1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{26}, a=14, b=15}}",1,"Question{QuestionVoter{voter=Voter{24}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=6, b=8}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=12}}"
21,1,"Question{QuestionVoter{voter=Voter{6}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{26}, a=14, b=8}}",1,"Question{QuestionVoter{voter=Voter{21}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{27}, a=6, b=9}}",0,"Question{QuestionCommittee{λ=33/4, rank=1}}"
22,1,"Question{QuestionVoter{voter=Voter{30}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=14, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=7}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=1}}"
23,1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=14, b=10}}",1,"Question{QuestionVoter{voter=Voter{25}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{23}, a=8, b=13}}",1,"Question{QuestionVoter{voter=Voter{8}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=12}}"
24,1,"Question{QuestionVoter{voter=Voter{10}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{30}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=14, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=8}}",0,"Question{QuestionCommittee{λ=33/4, rank=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=15, b=7}}",0,"Question{QuestionCommittee{λ=31/2, rank=1}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=12}}"
25,1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{26}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{25}, a=14, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=14}}",1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{28}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{22}, a=8, b=13}}"
26,1,"Question{QuestionVoter{voter=Voter{18}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=14, b=11}}",1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=15}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=14}}"
27,1,"Question{QuestionVoter{voter=Voter{10}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{26}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{17}, a=14, b=11}}",1,"Question{QuestionVoter{voter=Voter{5}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{26}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{1}, a=8, b=15}}"
28,1,"Question{QuestionVoter{voter=Voter{11}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{26}, a=14, b=12}}",1,"Question{QuestionVoter{voter=Voter{5}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{21}, a=8, b=15}}"
29,1,"Question{QuestionVoter{voter=Voter{8}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{17}, a=14, b=13}}",1,"Question{QuestionVoter{voter=Voter{3}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{26}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{22}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=2}}"
30,1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{25}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{23}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{26}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=2}}"
31,1,"Question{QuestionVoter{voter=Voter{16}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{24}, a=14, b=6}}",1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{21}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=2, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{14}, a=8, b=2}}"
32,1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{5}, a=14, b=6}}",1,"Question{QuestionVoter{voter=Voter{30}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{5}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{28}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=3}}"
33,1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{10}, a=14, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{29}, a=2, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{25}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{26}, a=8, b=3}}"
34,1,"Question{QuestionVoter{voter=Voter{30}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{30}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{20}, a=14, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{30}, a=6, b=14}}",1,"Question{QuestionVoter{voter=Voter{29}, a=8, b=4}}"
35,1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{30}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{30}, a=14, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=5}}",0,"Question{QuestionCommittee{λ=31/2, rank=2}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=14}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=5}}"
36,1,"Question{QuestionVoter{voter=Voter{30}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{11}, a=14, b=5}}",1,"Question{QuestionVoter{voter=Voter{10}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{27}, a=6, b=14}}",1,"Question{QuestionVoter{voter=Voter{22}, a=8, b=6}}"
37,1,"Question{QuestionVoter{voter=Voter{30}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{30}, a=14, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{30}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{24}, a=8, b=6}}"
38,1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=3}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{28}, a=14, b=2}}",1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{26}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=7}}"
39,1,"Question{QuestionVoter{voter=Voter{6}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{19}, a=14, b=3}}",1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{26}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{23}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=1}}"
