i,qV(1)/qC(0),Run 1 of 25,qV(1)/qC(0),Run 2 of 25,qV(1)/qC(0),Run 3 of 25,qV(1)/qC(0),Run 4 of 25,qV(1)/qC(0),Run 5 of 25,qV(1)/qC(0),Run 6 of 25,qV(1)/qC(0),Run 7 of 25,qV(1)/qC(0),Run 8 of 25,qV(1)/qC(0),Run 9 of 25,qV(1)/qC(0),Run 10 of 25,qV(1)/qC(0),Run 11 of 25,qV(1)/qC(0),Run 12 of 25,qV(1)/qC(0),Run 13 of 25,qV(1)/qC(0),Run 14 of 25,qV(1)/qC(0),Run 15 of 25,qV(1)/qC(0),Run 16 of 25,qV(1)/qC(0),Run 17 of 25,qV(1)/qC(0),Run 18 of 25,qV(1)/qC(0),Run 19 of 25,qV(1)/qC(0),Run 20 of 25,qV(1)/qC(0),Run 21 of 25,qV(1)/qC(0),Run 22 of 25,qV(1)/qC(0),Run 23 of 25,qV(1)/qC(0),Run 24 of 25,qV(1)/qC(0),Run 25 of 25
214,1,Question{QuestionVoter{voter=Voter{3}- a=2- b=5}},1,Question{QuestionVoter{voter=Voter{2}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{3}- a=9- b=4}},1,Question{QuestionVoter{voter=Voter{8}- a=9- b=7}},1,Question{QuestionVoter{voter=Voter{11}- a=10- b=3}},1,Question{QuestionVoter{voter=Voter{11}- a=1- b=8}},0,Question{QuestionCommittee{λ=51/32- rank=2}},1,Question{QuestionVoter{voter=Voter{3}- a=2- b=1}},1,Question{QuestionVoter{voter=Voter{19}- a=4- b=3}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=2}},0,Question{QuestionCommittee{λ=27/8- rank=3}},1,Question{QuestionVoter{voter=Voter{3}- a=9- b=4}},1,Question{QuestionVoter{voter=Voter{11}- a=6- b=4}},1,Question{QuestionVoter{voter=Voter{18}- a=7- b=10}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{4}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{1}- a=2- b=9}},1,Question{QuestionVoter{voter=Voter{1}- a=4- b=9}},1,Question{QuestionVoter{voter=Voter{10}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{9}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=2- b=1}},1,Question{QuestionVoter{voter=Voter{18}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{7}- a=6- b=7}}
215,1,Question{QuestionVoter{voter=Voter{7}- a=1- b=5}},0,Question{QuestionCommittee{λ=35/16- rank=3}},1,Question{QuestionVoter{voter=Voter{8}- a=9- b=3}},1,Question{QuestionVoter{voter=Voter{7}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{15}- a=7- b=10}},1,Question{QuestionVoter{voter=Voter{15}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{13}- a=10- b=8}},1,Question{QuestionVoter{voter=Voter{9}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=4- b=2}},1,Question{QuestionVoter{voter=Voter{7}- a=4- b=9}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{7}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{4}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{20}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{15}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{11}- a=9- b=4}},1,Question{QuestionVoter{voter=Voter{7}- a=2- b=1}},1,Question{QuestionVoter{voter=Voter{10}- a=3- b=9}},1,Question{QuestionVoter{voter=Voter{14}- a=3- b=9}},1,Question{QuestionVoter{voter=Voter{10}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{4}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{4}- a=9- b=1}},1,Question{QuestionVoter{voter=Voter{12}- a=4- b=2}},1,Question{QuestionVoter{voter=Voter{17}- a=8- b=7}}
216,1,Question{QuestionVoter{voter=Voter{15}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{19}- a=2- b=5}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{9}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{5}- a=7- b=9}},1,Question{QuestionVoter{voter=Voter{7}- a=2- b=8}},0,Question{QuestionCommittee{λ=23/4- rank=3}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{10}- a=4- b=7}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{17}- a=9- b=6}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=4}},1,Question{QuestionVoter{voter=Voter{14}- a=3- b=2}},1,Question{QuestionVoter{voter=Voter{12}- a=5- b=7}},1,Question{QuestionVoter{voter=Voter{20}- a=9- b=8}},1,Question{QuestionVoter{voter=Voter{10}- a=8- b=1}},1,Question{QuestionVoter{voter=Voter{16}- a=2- b=9}},1,Question{QuestionVoter{voter=Voter{16}- a=3- b=9}},1,Question{QuestionVoter{voter=Voter{13}- a=10- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=10- b=2}},1,Question{QuestionVoter{voter=Voter{18}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{3}- a=7- b=10}},1,Question{QuestionVoter{voter=Voter{19}- a=8- b=5}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=7}}
217,1,Question{QuestionVoter{voter=Voter{14}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{12}- a=7- b=5}},1,Question{QuestionVoter{voter=Voter{15}- a=4- b=10}},1,Question{QuestionVoter{voter=Voter{2}- a=9- b=3}},1,Question{QuestionVoter{voter=Voter{8}- a=9- b=5}},1,Question{QuestionVoter{voter=Voter{19}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{19}- a=10- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=9- b=3}},1,Question{QuestionVoter{voter=Voter{13}- a=6- b=3}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{8}- a=9- b=6}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=4}},1,Question{QuestionVoter{voter=Voter{14}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{11}- a=5- b=1}},1,Question{QuestionVoter{voter=Voter{11}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=1- b=7}},0,Question{QuestionCommittee{λ=51/32- rank=3}},1,Question{QuestionVoter{voter=Voter{8}- a=10- b=9}},1,Question{QuestionVoter{voter=Voter{17}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{12}- a=6- b=1}},1,Question{QuestionVoter{voter=Voter{2}- a=4- b=9}},0,Question{QuestionCommittee{λ=23/4- rank=2}},1,Question{QuestionVoter{voter=Voter{19}- a=10- b=5}},1,Question{QuestionVoter{voter=Voter{3}- a=3- b=7}}
218,1,Question{QuestionVoter{voter=Voter{1}- a=2- b=10}},1,Question{QuestionVoter{voter=Voter{9}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=10}},1,Question{QuestionVoter{voter=Voter{15}- a=5- b=6}},1,Question{QuestionVoter{voter=Voter{11}- a=6- b=5}},1,Question{QuestionVoter{voter=Voter{19}- a=2- b=9}},1,Question{QuestionVoter{voter=Voter{2}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=6- b=3}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=3}},1,Question{QuestionVoter{voter=Voter{7}- a=4- b=3}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{13}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{7}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{19}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{19}- a=8- b=9}},1,Question{QuestionVoter{voter=Voter{2}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{7}- a=10- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{4}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=2- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=8- b=5}},1,Question{QuestionVoter{voter=Voter{9}- a=3- b=2}}
219,1,Question{QuestionVoter{voter=Voter{1}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{7}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{17}- a=7- b=10}},0,Question{QuestionCommittee{λ=23/4- rank=3}},1,Question{QuestionVoter{voter=Voter{10}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=6}},0,Question{QuestionCommittee{λ=27/8- rank=3}},1,Question{QuestionVoter{voter=Voter{6}- a=3- b=9}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{16}- a=8- b=3}},1,Question{QuestionVoter{voter=Voter{18}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{11}- a=9- b=6}},1,Question{QuestionVoter{voter=Voter{8}- a=6- b=10}},1,Question{QuestionVoter{voter=Voter{1}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{14}- a=8- b=1}},1,Question{QuestionVoter{voter=Voter{4}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{11}- a=10- b=5}},0,Question{QuestionCommittee{λ=27/8- rank=2}},1,Question{QuestionVoter{voter=Voter{7}- a=9- b=8}},1,Question{QuestionVoter{voter=Voter{4}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{7}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{4}- a=3- b=7}}
220,1,Question{QuestionVoter{voter=Voter{6}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{1}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{19}- a=9- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=9- b=8}},1,Question{QuestionVoter{voter=Voter{5}- a=9- b=3}},1,Question{QuestionVoter{voter=Voter{3}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{14}- a=2- b=9}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=4- b=3}},1,Question{QuestionVoter{voter=Voter{6}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{19}- a=9- b=7}},1,Question{QuestionVoter{voter=Voter{14}- a=6- b=3}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{10}- a=7- b=4}},1,Question{QuestionVoter{voter=Voter{11}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=4- b=1}},1,Question{QuestionVoter{voter=Voter{9}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{7}- a=10- b=5}},1,Question{QuestionVoter{voter=Voter{19}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=6- b=4}},1,Question{QuestionVoter{voter=Voter{5}- a=10- b=9}},1,Question{QuestionVoter{voter=Voter{15}- a=9- b=10}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=10}}
221,1,Question{QuestionVoter{voter=Voter{3}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{3}- a=7- b=5}},1,Question{QuestionVoter{voter=Voter{5}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{10}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{8}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=5}},1,Question{QuestionVoter{voter=Voter{2}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{7}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{19}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{19}- a=6- b=3}},1,Question{QuestionVoter{voter=Voter{19}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{11}- a=7- b=4}},1,Question{QuestionVoter{voter=Voter{12}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{7}- a=4- b=1}},1,Question{QuestionVoter{voter=Voter{13}- a=8- b=6}},1,Question{QuestionVoter{voter=Voter{7}- a=5- b=3}},1,Question{QuestionVoter{voter=Voter{19}- a=3- b=8}},0,Question{QuestionCommittee{λ=51/32- rank=6}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=6}},0,Question{QuestionCommittee{λ=27/8- rank=2}},1,Question{QuestionVoter{voter=Voter{11}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{11}- a=3- b=10}}
222,1,Question{QuestionVoter{voter=Voter{1}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{17}- a=4- b=9}},1,Question{QuestionVoter{voter=Voter{19}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{17}- a=9- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=10- b=3}},1,Question{QuestionVoter{voter=Voter{13}- a=6- b=5}},1,Question{QuestionVoter{voter=Voter{1}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=1}},1,Question{QuestionVoter{voter=Voter{18}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{4}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{17}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{14}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{19}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{13}- a=5- b=4}},1,Question{QuestionVoter{voter=Voter{2}- a=9- b=7}},1,Question{QuestionVoter{voter=Voter{5}- a=6- b=1}},1,Question{QuestionVoter{voter=Voter{8}- a=2- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=4- b=3}},1,Question{QuestionVoter{voter=Voter{11}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{6}- a=6- b=2}},1,Question{QuestionVoter{voter=Voter{18}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{3}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{11}- a=3- b=9}}
223,1,Question{QuestionVoter{voter=Voter{9}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{19}- a=7- b=3}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=5}},1,Question{QuestionVoter{voter=Voter{16}- a=9- b=8}},1,Question{QuestionVoter{voter=Voter{20}- a=7- b=3}},1,Question{QuestionVoter{voter=Voter{7}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{9}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=6- b=5}},1,Question{QuestionVoter{voter=Voter{9}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{16}- a=8- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=8- b=6}},1,Question{QuestionVoter{voter=Voter{11}- a=9- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{10}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{8}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{20}- a=6- b=1}},1,Question{QuestionVoter{voter=Voter{19}- a=5- b=10}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{17}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{1}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{3}- a=9- b=3}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{3}- a=8- b=6}}
224,1,Question{QuestionVoter{voter=Voter{8}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{18}- a=2- b=4}},1,Question{QuestionVoter{voter=Voter{16}- a=9- b=5}},1,Question{QuestionVoter{voter=Voter{3}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=2- b=4}},1,Question{QuestionVoter{voter=Voter{20}- a=7- b=1}},1,Question{QuestionVoter{voter=Voter{10}- a=10- b=8}},1,Question{QuestionVoter{voter=Voter{6}- a=4- b=1}},1,Question{QuestionVoter{voter=Voter{2}- a=4- b=7}},1,Question{QuestionVoter{voter=Voter{20}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{6}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{10}- a=4- b=3}},1,Question{QuestionVoter{voter=Voter{14}- a=8- b=6}},1,Question{QuestionVoter{voter=Voter{3}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{7}- a=9- b=4}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=1}},1,Question{QuestionVoter{voter=Voter{18}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{9}- a=6- b=1}},1,Question{QuestionVoter{voter=Voter{4}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{1}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{14}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{5}- a=3- b=6}}
225,1,Question{QuestionVoter{voter=Voter{17}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{8}- a=2- b=4}},1,Question{QuestionVoter{voter=Voter{7}- a=9- b=5}},1,Question{QuestionVoter{voter=Voter{12}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{11}- a=7- b=1}},1,Question{QuestionVoter{voter=Voter{1}- a=4- b=1}},1,Question{QuestionVoter{voter=Voter{11}- a=10- b=4}},1,Question{QuestionVoter{voter=Voter{12}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{13}- a=5- b=8}},1,Question{QuestionVoter{voter=Voter{16}- a=10- b=7}},1,Question{QuestionVoter{voter=Voter{9}- a=9- b=6}},1,Question{QuestionVoter{voter=Voter{14}- a=4- b=3}},1,Question{QuestionVoter{voter=Voter{13}- a=3- b=9}},1,Question{QuestionVoter{voter=Voter{2}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{4}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{3}- a=9- b=2}},1,Question{QuestionVoter{voter=Voter{15}- a=4- b=1}},1,Question{QuestionVoter{voter=Voter{4}- a=10- b=3}},1,Question{QuestionVoter{voter=Voter{5}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{7}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{6}- a=5- b=6}},1,Question{QuestionVoter{voter=Voter{19}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=5- b=7}},1,Question{QuestionVoter{voter=Voter{10}- a=10- b=6}}
226,1,Question{QuestionVoter{voter=Voter{11}- a=5- b=9}},1,Question{QuestionVoter{voter=Voter{5}- a=4- b=10}},1,Question{QuestionVoter{voter=Voter{2}- a=8- b=7}},1,Question{QuestionVoter{voter=Voter{19}- a=9- b=7}},1,Question{QuestionVoter{voter=Voter{8}- a=7- b=1}},1,Question{QuestionVoter{voter=Voter{1}- a=7- b=1}},1,Question{QuestionVoter{voter=Voter{14}- a=10- b=8}},1,Question{QuestionVoter{voter=Voter{16}- a=7- b=4}},0,Question{QuestionCommittee{λ=35/16- rank=3}},1,Question{QuestionVoter{voter=Voter{19}- a=5- b=7}},0,Question{QuestionCommittee{λ=27/8- rank=1}},1,Question{QuestionVoter{voter=Voter{6}- a=2- b=3}},1,Question{QuestionVoter{voter=Voter{3}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=7- b=2}},1,Question{QuestionVoter{voter=Voter{10}- a=6- b=10}},1,Question{QuestionVoter{voter=Voter{11}- a=4- b=5}},1,Question{QuestionVoter{voter=Voter{2}- a=3- b=7}},1,Question{QuestionVoter{voter=Voter{7}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{2}- a=10- b=3}},1,Question{QuestionVoter{voter=Voter{2}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{15}- a=6- b=8}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=8}},1,Question{QuestionVoter{voter=Voter{12}- a=4- b=8}},1,Question{QuestionVoter{voter=Voter{11}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{17}- a=3- b=6}}
227,1,Question{QuestionVoter{voter=Voter{7}- a=5- b=4}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=6}},1,Question{QuestionVoter{voter=Voter{19}- a=7- b=2}},0,Question{QuestionCommittee{λ=21/2- rank=2}},1,Question{QuestionVoter{voter=Voter{6}- a=7- b=4}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=1}},1,Question{QuestionVoter{voter=Voter{18}- a=5- b=2}},1,Question{QuestionVoter{voter=Voter{6}- a=3- b=4}},1,Question{QuestionVoter{voter=Voter{2}- a=1- b=9}},1,Question{QuestionVoter{voter=Voter{8}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{2}- a=3- b=6}},1,Question{QuestionVoter{voter=Voter{12}- a=1- b=3}},0,Question{QuestionCommittee{λ=23/4- rank=3}},1,Question{QuestionVoter{voter=Voter{1}- a=4- b=6}},1,Question{QuestionVoter{voter=Voter{2}- a=7- b=10}},1,Question{QuestionVoter{voter=Voter{18}- a=9- b=5}},1,Question{QuestionVoter{voter=Voter{18}- a=2- b=7}},1,Question{QuestionVoter{voter=Voter{5}- a=2- b=8}},1,Question{QuestionVoter{voter=Voter{10}- a=4- b=1}},1,Question{QuestionVoter{voter=Voter{7}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{1}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{7}- a=10- b=8}},1,Question{QuestionVoter{voter=Voter{9}- a=9- b=7}},1,Question{QuestionVoter{voter=Voter{10}- a=1- b=7}},1,Question{QuestionVoter{voter=Voter{13}- a=3- b=6}}
228,0,Question{QuestionCommittee{λ=23/4- rank=2}},1,Question{QuestionVoter{voter=Voter{20}- a=5- b=6}},0,Question{QuestionCommittee{λ=23/4- rank=4}},1,Question{QuestionVoter{voter=Voter{1}- a=9- b=4}},1,Question{QuestionVoter{voter=Voter{2}- a=7- b=6}},1,Question{QuestionVoter{voter=Voter{20}- a=8- b=10}},1,Question{QuestionVoter{voter=Voter{10}- a=4- b=2}},1,Question{QuestionVoter{voter=Voter{2}- a=6- b=4}},1,Question{QuestionVoter{voter=Voter{1}- a=2- b=9}},1,Question{QuestionVoter{voter=Voter{19}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{19}- a=1- b=2}},1,Question{QuestionVoter{voter=Voter{16}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{9}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{6}- a=7- b=5}},1,Question{QuestionVoter{voter=Voter{11}- a=5- b=10}},1,Question{QuestionVoter{voter=Voter{2}- a=3- b=5}},1,Question{QuestionVoter{voter=Voter{10}- a=8- b=4}},1,Question{QuestionVoter{voter=Voter{15}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{7}- a=10- b=1}},1,Question{QuestionVoter{voter=Voter{17}- a=6- b=9}},1,Question{QuestionVoter{voter=Voter{7}- a=6- b=1}},1,Question{QuestionVoter{voter=Voter{15}- a=10- b=6}},1,Question{QuestionVoter{voter=Voter{9}- a=7- b=8}},1,Question{QuestionVoter{voter=Voter{6}- a=5- b=7}},1,Question{QuestionVoter{voter=Voter{7}- a=6- b=1}}
229,1,Question{QuestionVoter{voter=Voter{14}- a=5- b=4}},1,Question{QuestionVoter{voter=Voter{19}- a=1- b=6}},1,Question{QuestionVoter{voter=Voter{11}- a=4- b=2}},1,Question{QuestionVoter{voter=Voter{3}- a=5- b=4}},0,Question{QuestionCommittee{λ=27/8- rank=1}},1,Question{QuestionVoter{voter=Voter{13}- a=3- b=10}},1,Question{QuestionVoter{voter=Voter{2}- a=5- b=2}},1,Question{QuestionVoter{voter=Voter{1}- a=6- b=2}},1,Question{QuestionVoter{voter=Voter{5}- a=4- b=9}},1,Question{QuestionVoter{voter=Voter{20}- a=1- b=10}},1,Question{QuestionVoter{voter=Voter{13}- a=1- b=4}},1,Question{QuestionVoter{voter=Voter{4}- a=5- b=3}},1,Question{QuestionVoter{voter=Voter{11}- a=1- b=3}},1,Question{QuestionVoter{voter=Voter{9}- a=7- b=2}},1,Question{QuestionVoter{voter=Voter{3}- a=5- b=6}},1,Question{QuestionVoter{voter=Voter{20}- a=2- b=5}},1,Question{QuestionVoter{voter=Voter{2}- a=5- b=7}},1,Question{QuestionVoter{voter=Voter{9}- a=2- b=4}},0,Question{QuestionCommittee{λ=35/16- rank=4}},1,Question{QuestionVoter{voter=Voter{16}- a=2- b=9}},1,Question{QuestionVoter{voter=Voter{2}- a=6- b=7}},1,Question{QuestionVoter{voter=Voter{4}- a=7- b=6}},1,Question{QuestionVoter{voter=Voter{18}- a=10- b=8}},1,Question{QuestionVoter{voter=Voter{8}- a=3- b=8}},1,Question{QuestionVoter{voter=Voter{5}- a=7- b=4}}
