i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
11,0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}"
12,0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=73/16, rank=7}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}"
13,0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}"
14,0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}"
15,0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=35/16, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}"
16,0,"Question{QuestionCommittee{λ=21/2, rank=4}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}"
17,0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}"
18,0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=51/32, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}"
19,0,"Question{QuestionCommittee{λ=73/16, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=8}}",0,"Question{QuestionCommittee{λ=35/16, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}",0,"Question{QuestionCommittee{λ=21/2, rank=8}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=23/4, rank=1}}"
20,0,"Question{QuestionCommittee{λ=21/2, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=51/32, rank=8}}",0,"Question{QuestionCommittee{λ=83/64, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}"
21,0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=83/64, rank=1}}",0,"Question{QuestionCommittee{λ=83/64, rank=8}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}"
22,0,"Question{QuestionCommittee{λ=83/64, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=185/128, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=21/2, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}"
23,0,"Question{QuestionCommittee{λ=121/64, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=21/2, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=127/32, rank=7}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=83/64, rank=2}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=51/32, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=8}}"
24,0,"Question{QuestionCommittee{λ=35/16, rank=7}}",0,"Question{QuestionCommittee{λ=21/2, rank=7}}",0,"Question{QuestionCommittee{λ=389/256, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=1}}"
25,0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=8}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}"
26,0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=235/64, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=83/64, rank=6}}",0,"Question{QuestionCommittee{λ=121/64, rank=8}}",0,"Question{QuestionCommittee{λ=35/16, rank=8}}"
27,0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=147/128, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=185/128, rank=4}}",0,"Question{QuestionCommittee{λ=141/8, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}",0,"Question{QuestionCommittee{λ=83/64, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}"
28,0,"Question{QuestionCommittee{λ=223/128, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=21/2, rank=6}}",0,"Question{QuestionCommittee{λ=21/2, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=83/64, rank=1}}",0,"Question{QuestionCommittee{λ=223/128, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}"
29,0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=275/256, rank=1}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=83/64, rank=1}}",0,"Question{QuestionCommittee{λ=185/128, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=35/16, rank=7}}"
30,0,"Question{QuestionCommittee{λ=127/32, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=4}}",0,"Question{QuestionCommittee{λ=83/64, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",0,"Question{QuestionCommittee{λ=83/64, rank=4}}"
31,0,"Question{QuestionCommittee{λ=427/256, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=83/64, rank=7}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=35/16, rank=7}}",0,"Question{QuestionCommittee{λ=27/8, rank=8}}",0,"Question{QuestionCommittee{λ=147/128, rank=2}}",0,"Question{QuestionCommittee{λ=83/64, rank=1}}",0,"Question{QuestionCommittee{λ=51/32, rank=7}}"
32,0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=83/64, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=89/32, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}"
33,0,"Question{QuestionCommittee{λ=23/4, rank=1}}",0,"Question{QuestionCommittee{λ=35/16, rank=5}}",0,"Question{QuestionCommittee{λ=797/512, rank=8}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=185/128, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=8}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=121/64, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}"
34,0,"Question{QuestionCommittee{λ=83/64, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}",0,"Question{QuestionCommittee{λ=27/8, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",0,"Question{QuestionCommittee{λ=35/16, rank=8}}",0,"Question{QuestionCommittee{λ=89/32, rank=8}}",0,"Question{QuestionCommittee{λ=275/256, rank=2}}",0,"Question{QuestionCommittee{λ=465/256, rank=8}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}"
35,0,"Question{QuestionCommittee{λ=27/8, rank=1}}",0,"Question{QuestionCommittee{λ=147/128, rank=4}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}",0,"Question{QuestionCommittee{λ=147/128, rank=1}}",0,"Question{QuestionCommittee{λ=489/128, rank=7}}",0,"Question{QuestionCommittee{λ=389/256, rank=5}}",0,"Question{QuestionCommittee{λ=197/64, rank=8}}",0,"Question{QuestionCommittee{λ=185/128, rank=6}}",0,"Question{QuestionCommittee{λ=261/128, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}"
36,0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=2}}",0,"Question{QuestionCommittee{λ=959/256, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=4}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=911/512, rank=8}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}"
37,0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=89/32, rank=7}}",0,"Question{QuestionCommittee{λ=23/4, rank=6}}",0,"Question{QuestionCommittee{λ=23/4, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",0,"Question{QuestionCommittee{λ=147/128, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=3}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=7}}"
38,0,"Question{QuestionCommittee{λ=147/128, rank=2}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=351/256, rank=4}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=83/64, rank=1}}",0,"Question{QuestionCommittee{λ=197/64, rank=7}}",0,"Question{QuestionCommittee{λ=1803/1024, rank=8}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}"
39,0,"Question{QuestionCommittee{λ=51/32, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=8}}",0,"Question{QuestionCommittee{λ=23/4, rank=3}}",0,"Question{QuestionCommittee{λ=351/256, rank=4}}",0,"Question{QuestionCommittee{λ=51/32, rank=1}}",0,"Question{QuestionCommittee{λ=35/16, rank=2}}",0,"Question{QuestionCommittee{λ=275/256, rank=4}}",0,"Question{QuestionCommittee{λ=147/128, rank=1}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=8}}"
40,0,"Question{QuestionCommittee{λ=35/16, rank=1}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}",0,"Question{QuestionCommittee{λ=197/64, rank=7}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=301/16, rank=8}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=6}}",0,"Question{QuestionCommittee{λ=413/128, rank=7}}",0,"Question{QuestionCommittee{λ=3625/2048, rank=8}}",0,"Question{QuestionCommittee{λ=275/256, rank=5}}"
41,0,"Question{QuestionCommittee{λ=275/256, rank=2}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=147/128, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=2}}",0,"Question{QuestionCommittee{λ=797/512, rank=5}}",0,"Question{QuestionCommittee{λ=413/128, rank=8}}",0,"Question{QuestionCommittee{λ=531/512, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=4}}",0,"Question{QuestionCommittee{λ=185/128, rank=7}}"
42,0,"Question{QuestionCommittee{λ=83/64, rank=7}}",0,"Question{QuestionCommittee{λ=531/512, rank=1}}",0,"Question{QuestionCommittee{λ=413/128, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=1899/512, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=2}}",0,"Question{QuestionCommittee{λ=27/8, rank=7}}",0,"Question{QuestionCommittee{λ=51/32, rank=3}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=83/64, rank=8}}"
43,0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=275/256, rank=4}}",0,"Question{QuestionCommittee{λ=23/4, rank=4}}",0,"Question{QuestionCommittee{λ=27/8, rank=3}}",0,"Question{QuestionCommittee{λ=27/8, rank=5}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=27/8, rank=8}}",0,"Question{QuestionCommittee{λ=185/128, rank=1}}",0,"Question{QuestionCommittee{λ=351/256, rank=7}}"
44,0,"Question{QuestionCommittee{λ=235/64, rank=8}}",0,"Question{QuestionCommittee{λ=147/128, rank=5}}",0,"Question{QuestionCommittee{λ=83/64, rank=6}}",0,"Question{QuestionCommittee{λ=313/256, rank=1}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=7}}",0,"Question{QuestionCommittee{λ=83/64, rank=5}}",0,"Question{QuestionCommittee{λ=35/16, rank=4}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}",0,"Question{QuestionCommittee{λ=35/16, rank=6}}"
45,0,"Question{QuestionCommittee{λ=451/128, rank=8}}",0,"Question{QuestionCommittee{λ=83/64, rank=6}}",0,"Question{QuestionCommittee{λ=275/256, rank=5}}",0,"Question{QuestionCommittee{λ=313/256, rank=5}}",0,"Question{QuestionCommittee{λ=147/128, rank=2}}",0,"Question{QuestionCommittee{λ=83/64, rank=7}}",0,"Question{QuestionCommittee{λ=531/512, rank=4}}",0,"Question{QuestionCommittee{λ=275/256, rank=1}}",0,"Question{QuestionCommittee{λ=351/256, rank=1}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}"
46,0,"Question{QuestionCommittee{λ=921/256, rank=8}}",0,"Question{QuestionCommittee{λ=1081/1024, rank=1}}",0,"Question{QuestionCommittee{λ=1613/1024, rank=8}}",0,"Question{QuestionCommittee{λ=83/64, rank=6}}",0,"Question{QuestionCommittee{λ=3817/1024, rank=7}}",0,"Question{QuestionCommittee{λ=147/128, rank=7}}",0,"Question{QuestionCommittee{λ=147/128, rank=2}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}",0,"Question{QuestionCommittee{λ=51/32, rank=6}}",0,"Question{QuestionCommittee{λ=83/64, rank=3}}"
